region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,total_days,yield_kg_per_hectare,latitude,longitude,NDVI_index,crop_disease_status,Water_Needed
North India,Wheat,35.95,5.99,17.79,75.62,77.03,7.27,Unknown,Organic,6.34,122,4408.07,14.970941,82.997689,0.63,Mild,0
South USA,Soybean,19.74,7.24,30.18,89.91,61.13,5.67,Sprinkler,Inorganic,9.6,112,5389.98,16.613022,70.869009,0.58,Healthy,1
South USA,Wheat,29.32,7.16,27.37,265.43,68.87,8.23,Drip,Mixed,15.26,144,2931.16,19.503156,79.068206,0.8,Mild,1
Central USA,Maize,17.33,6.03,33.73,212.01,70.46,5.03,Sprinkler,Organic,25.8,134,4227.8,31.071298,85.519998,0.44,Healthy,1
Central USA,Cotton,19.37,5.92,33.86,269.09,55.73,7.93,Unknown,Mixed,25.65,105,4979.96,16.56854,81.69172,0.84,Severe,1
Central USA,Rice,44.91,5.78,24.87,238.95,83.06,4.92,Sprinkler,Mixed,24.0,114,4383.55,23.227859,89.421568,0.82,Healthy,0
North India,Soybean,36.28,7.04,21.8,123.38,47.91,4.02,Manual,Mixed,39.29,145,4501.2,25.224255,73.056785,0.76,Healthy,0
East Africa,Maize,27.1,5.72,22.26,296.33,80.34,5.44,Sprinkler,Mixed,47.61,121,5264.09,23.317654,72.51521,0.7,Mild,1
Central USA,Soybean,40.54,6.35,19.24,184.82,76.5,5.21,Manual,Inorganic,49.78,118,5598.46,13.025105,74.493947,0.5,Mild,0
East Africa,Rice,10.25,6.92,16.18,66.85,41.57,5.98,Sprinkler,Inorganic,35.1,98,4893.41,24.405291,74.859945,0.58,Severe,1
South India,Wheat,13.39,6.36,23.47,166.76,76.45,8.04,Drip,Organic,23.12,145,2437.08,14.755223,78.972271,0.55,Moderate,1
South USA,Rice,40.61,5.65,31.16,263.99,44.9,7.91,Drip,Organic,46.69,116,3942.56,31.61626,88.048857,0.4,Healthy,0
