region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,total_days,yield_kg_per_hectare,latitude,longitude,NDVI_index,crop_disease_status,Water_Needed,Heat_Stress,Soil_Health,Water_Amount_Liters,Recommended_Fertilizer,Irrigation_Time,Rain_Impact,Farm_Efficiency
3,0,33.22,5.92,29.83,168.46,65.52,5.89,3,1,7.9,122.89,4807.06,31.67,75.83,0.75,3,0,1,0,20,1,2,0,2
3,3,16.77,5.51,28.87,202.71,44.4,6.81,1,0,36.62,153.07,4270.69,31.58,87.69,0.75,0,1,1,2,30,1,2,0,0
1,3,44.94,6.1,27.26,256.52,80.19,7.23,1,1,48.09,153.69,5614.84,11.87,88.02,0.4,0,0,1,0,10,2,2,0,2
0,0,15.45,7.03,27.82,118.25,60.76,7.32,3,0,24.52,145.34,5752.79,29.19,72.66,0.35,1,1,1,2,30,2,2,0,0
0,4,21.38,5.82,25.79,286.35,62.34,7.6,2,2,15.69,106.68,4117.02,25.4,75.9,0.64,2,1,1,2,20,1,2,0,0
3,2,43.11,7.95,24.94,244.37,88.52,6.63,3,0,13.07,119.75,3622.97,12.77,81.42,0.58,2,0,1,0,10,3,2,0,0
0,0,39.68,6.81,25.82,120.05,51.8,9.25,3,1,51.6,145.27,4117.17,11.35,80.59,0.67,3,1,1,0,10,0,2,0,2
4,3,14.02,6.91,19.47,97.02,61.7,7.21,2,2,14.16,93.1,4009.49,33.86,77.65,0.69,1,1,1,2,30,3,0,0,0
0,3,30.06,6.99,24.01,119.06,84.01,10.44,1,1,13.2,113.28,4170.34,33.46,86.02,0.44,0,1,1,0,20,2,2,0,0
2,3,33.66,4.96,17.22,262.72,89.33,4.71,1,0,38.57,103.86,5581.53,31.44,77.57,0.49,3,0,1,0,20,1,0,0,2
1,0,10.04,6.04,24.63,224.0,77.11,6.18,2,0,23.17,126.9,4590.88,23.06,74.65,0.45,3,1,1,2,30,0,2,0,0
3,0,41.78,5.32,28.49,131.41,75.92,10.68,2,1,35.22,98.86,3770.66,16.24,87.24,0.9,2,0,1,0,10,1,2,0,2
4,0,13.09,7.02,21.91,273.74,73.74,3.48,3,0,12.19,96.97,6028.8,28.2,73.96,0.38,1,1,1,2,30,2,2,0,0
